X1	X2	X3	X4
cDC	Noverstern	Myeloid Dendritic Cell	Myeloid Dendritic Cell
cDC	Noverstern	Myeloid Dendritic Cell	Myeloid Dendritic Cell
cDC	Noverstern	Myeloid Dendritic Cell	Myeloid Dendritic Cell
cDC	Mabbott	Hs.28:DC:monocyte-derived:cntrl_d5:r1	Hs.28:DC:monocyte-derived:cntrl_d5:r1
cDC	Mabbott	Hs.28:DC:monocyte-derived:cntrl_d5:r2	Hs.28:DC:monocyte-derived:cntrl_d5:r2
cDC	Mabbott	Hs.28:DC:monocyte-derived:cntrl_d5:r3	Hs.28:DC:monocyte-derived:cntrl_d5:r3
cDC	Mabbott	Hs.28:DC:monocyte-derived:cntrl_d5:r4	Hs.28:DC:monocyte-derived:cntrl_d5:r4
cDC	Mabbott	Hs.28:DC:monocyte-derived:cntrl_d5:r5	Hs.28:DC:monocyte-derived:cntrl_d5:r5
Chondrocytes	Mabbott	Hs.111:BM:Chondrocytes:MSC-derived:r1	Hs.111:BM:Chondrocytes:MSC-derived:r1
Chondrocytes	Mabbott	Hs.111:BM:Chondrocytes:MSC-derived:r2	Hs.111:BM:Chondrocytes:MSC-derived:r2
Chondrocytes	Mabbott	Hs.111:BM:Chondrocytes:MSC-derived:r3	Hs.111:BM:Chondrocytes:MSC-derived:r3
Chondrocytes	Mabbott	Hs.51:BM:Chondrocytes:MSC-derived:monolayer:r1	Hs.51:BM:Chondrocytes:MSC-derived:monolayer:r1
Chondrocytes	Mabbott	Hs.51:BM:Chondrocytes:MSC-derived:monolayer:r3	Hs.51:BM:Chondrocytes:MSC-derived:monolayer:r3
Chondrocytes	Mabbott	Hs.51:BM:Chondrocytes:MSC-derived:3D-cultured:r1	Hs.51:BM:Chondrocytes:MSC-derived:3D-cultured:r1
Chondrocytes	Mabbott	Hs.51:BM:Chondrocytes:MSC-derived:3D-cultured:r2	Hs.51:BM:Chondrocytes:MSC-derived:3D-cultured:r2
Chondrocytes	Mabbott	Hs.51:BM:Chondrocytes:MSC-derived:3D-cultured:r3	Hs.51:BM:Chondrocytes:MSC-derived:3D-cultured:r3
Class-switched memory B-cells	Noverstern	Mature B-cell class switched	Mature B-cell class switched
Class-switched memory B-cells	Noverstern	Mature B-cell class switched	Mature B-cell class switched
Class-switched memory B-cells	Noverstern	Mature B-cell class switched	Mature B-cell class switched
Class-switched memory B-cells	Noverstern	Mature B-cell class switched	Mature B-cell class switched
Class-switched memory B-cells	Noverstern	Mature B-cell class switched	Mature B-cell class switched
Class-switched memory B-cells	Blueprint	class switched memory B cell"	class switched memory B cell
CLP	Blueprint	common lymphoid progenitor	common lymphoid progenitor
CMP	Noverstern	Common myeloid progenitor	Common myeloid progenitor
CMP	Noverstern	Common myeloid progenitor	Common myeloid progenitor
CMP	Noverstern	Common myeloid progenitor	Common myeloid progenitor
CMP	Noverstern	Common myeloid progenitor	Common myeloid progenitor
CMP	Mabbott	Hs.67:BM_&Prog.:CMP:r1	Hs.67:BM_&Prog.:CMP:r1
CMP	Mabbott	Hs.67:BM_&Prog.:CMP:r2	Hs.67:BM_&Prog.:CMP:r2
DC	Mabbott	Hs.28:DC:monocyte-derived:cntrl_d5:r1	Hs.28:DC:monocyte-derived:cntrl_d5:r1
DC	Mabbott	Hs.28:DC:monocyte-derived:cntrl_d5:r2	Hs.28:DC:monocyte-derived:cntrl_d5:r2
DC	Mabbott	Hs.28:DC:monocyte-derived:cntrl_d5:r3	Hs.28:DC:monocyte-derived:cntrl_d5:r3
DC	Mabbott	Hs.28:DC:monocyte-derived:cntrl_d5:r4	Hs.28:DC:monocyte-derived:cntrl_d5:r4
DC	Mabbott	Hs.28:DC:monocyte-derived:cntrl_d5:r5	Hs.28:DC:monocyte-derived:cntrl_d5:r5
DC	Blueprint	conventional dendritic cell"	conventional dendritic cell
DC	Abbas	DendriticCell-Control-1 [HG-U133A]	DendriticCell-Control-1 [HG-U133A]
DC	Abbas	DendriticCell-Control-2 [HG-U133A]	DendriticCell-Control-2 [HG-U133A]
DC	Abbas	DendriticCell-Control-3 [HG-U133A]	DendriticCell-Control-3 [HG-U133A]
DC	Abbas	DendriticCell-Control-4 [HG-U133A]	DendriticCell-Control-4 [HG-U133A]
DC	Abbas	DendriticCell-Control-5 [HG-U133A]	DendriticCell-Control-5 [HG-U133A]
DC	Abbas	DendriticCell-Control-6 [HG-U133A]	DendriticCell-Control-6 [HG-U133A]
Endothelial cells	Mabbott	Hs.50:Endothelial_cells:blood_vessel:cntrl:r1	Hs.50:Endothelial_cells:blood_vessel:cntrl:r1
Endothelial cells	Mabbott	Hs.50:Endothelial_cells:blood_vessel:cntrl:r2	Hs.50:Endothelial_cells:blood_vessel:cntrl:r2
Endothelial cells	Mabbott	Hs.50:Endothelial_cells:blood_vessel:cntrl:r3	Hs.50:Endothelial_cells:blood_vessel:cntrl:r3
Endothelial cells	Mabbott	Hs.50:Endothelial_cells:blood_vessel:cntrl:r4	Hs.50:Endothelial_cells:blood_vessel:cntrl:r4
Epithelial cells	Mabbott	Hs.19:Epithelial_cells:bladder:r8	Hs.19:Epithelial_cells:bladder:r8
Epithelial cells	Mabbott	Hs.19:Epithelial_cells:bladder:r12	Hs.19:Epithelial_cells:bladder:r12
Epithelial cells	Mabbott	Hs.19:Epithelial_cells:bladder:r13	Hs.19:Epithelial_cells:bladder:r13
Epithelial cells	Mabbott	Hs.19:Epithelial_cells:bladder:r8_1	Hs.19:Epithelial_cells:bladder:r8_1
Epithelial cells	Mabbott	Hs.19:Epithelial_cells:bladder:r12_1	Hs.19:Epithelial_cells:bladder:r12_1
Epithelial cells	Mabbott	Hs.19:Epithelial_cells:bladder:r13_1	Hs.19:Epithelial_cells:bladder:r13_1
Epithelial cells	Mabbott	Hs.88:Epithelial_cells:bronchial:d0:r1	Hs.88:Epithelial_cells:bronchial:d0:r1
Epithelial cells	Mabbott	Hs.88:Epithelial_cells:bronchial:d8:r1	Hs.88:Epithelial_cells:bronchial:d8:r1
Epithelial cells	Mabbott	Hs.88:Epithelial_cells:bronchial:d14:r1	Hs.88:Epithelial_cells:bronchial:d14:r1
Epithelial cells	Mabbott	Hs.88:Epithelial_cells:bronchial:d21:r1	Hs.88:Epithelial_cells:bronchial:d21:r1
Epithelial cells	Mabbott	Hs.88:Epithelial_cells:bronchial:d28:r1	Hs.88:Epithelial_cells:bronchial:d28:r1
Epithelial cells	Mabbott	Hs.88:Epithelial_cells:bronchial:d0:r2	Hs.88:Epithelial_cells:bronchial:d0:r2
Epithelial cells	Mabbott	Hs.88:Epithelial_cells:bronchial:d8:r2	Hs.88:Epithelial_cells:bronchial:d8:r2
Epithelial cells	Mabbott	Hs.88:Epithelial_cells:bronchial:d14:r2	Hs.88:Epithelial_cells:bronchial:d14:r2
Epithelial cells	Mabbott	Hs.88:Epithelial_cells:bronchial:d21:r2	Hs.88:Epithelial_cells:bronchial:d21:r2
Epithelial cells	Mabbott	Hs.88:Epithelial_cells:bronchial:d28:r2	Hs.88:Epithelial_cells:bronchial:d28:r2
Erythrocytes	Blueprint	erythroblast"	erythroblast
Erythrocytes	Mabbott	Hs.1:Erythroblast:inter-erythroblast:r1	Hs.1:Erythroblast:inter-erythroblast:r1
Erythrocytes	Mabbott	Hs.1:Erythroblast:inter-erythroblast:r2	Hs.1:Erythroblast:inter-erythroblast:r2
Erythrocytes	Mabbott	Hs.1:Erythroblast:inter-erythroblast:r3	Hs.1:Erythroblast:inter-erythroblast:r3
Erythrocytes	Mabbott	Hs.1:Erythroblast:inter-erythroblast:r4	Hs.1:Erythroblast:inter-erythroblast:r4
Erythrocytes	Mabbott	Hs.1:Erythroblast:late-erythroblast:	Hs.1:Erythroblast:late-erythroblast:
Erythrocytes	Mabbott	Hs.1:Erythroblast:pro-erythroblast:r1	Hs.1:Erythroblast:pro-erythroblast:r1
Erythrocytes	Mabbott	Hs.1:Erythroblast:pro-erythroblast:r2	Hs.1:Erythroblast:pro-erythroblast:r2
Erythrocytes	Mabbott	Hs.1:Erythroblast:pro-erythroblast:r3	Hs.1:Erythroblast:pro-erythroblast:r3
Erythrocytes	Noverstern	Erythroid_CD34+ CD71+ GlyA-	Erythroid_CD34+ CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34+ CD71+ GlyA-	Erythroid_CD34+ CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34+ CD71+ GlyA-	Erythroid_CD34+ CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34+ CD71+ GlyA-	Erythroid_CD34+ CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34+ CD71+ GlyA-	Erythroid_CD34+ CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34+ CD71+ GlyA-	Erythroid_CD34+ CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34+ CD71+ GlyA-	Erythroid_CD34+ CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34- CD71+ GlyA-	Erythroid_CD34- CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34- CD71+ GlyA-	Erythroid_CD34- CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34- CD71+ GlyA-	Erythroid_CD34- CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34- CD71+ GlyA-	Erythroid_CD34- CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34- CD71+ GlyA-	Erythroid_CD34- CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34- CD71+ GlyA-	Erythroid_CD34- CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34- CD71+ GlyA-	Erythroid_CD34- CD71+ GlyA-
Erythrocytes	Noverstern	Erythroid_CD34- CD71+ GlyA+	Erythroid_CD34- CD71+ GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71+ GlyA+	Erythroid_CD34- CD71+ GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71+ GlyA+	Erythroid_CD34- CD71+ GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71+ GlyA+	Erythroid_CD34- CD71+ GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71+ GlyA+	Erythroid_CD34- CD71+ GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71+ GlyA+	Erythroid_CD34- CD71+ GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71lo GlyA+	Erythroid_CD34- CD71lo GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71lo GlyA+	Erythroid_CD34- CD71lo GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71lo GlyA+	Erythroid_CD34- CD71lo GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71lo GlyA+	Erythroid_CD34- CD71lo GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71lo GlyA+	Erythroid_CD34- CD71lo GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71lo GlyA+	Erythroid_CD34- CD71lo GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71lo GlyA+	Erythroid_CD34- CD71lo GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71- GlyA+	Erythroid_CD34- CD71- GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71- GlyA+	Erythroid_CD34- CD71- GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71- GlyA+	Erythroid_CD34- CD71- GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71- GlyA+	Erythroid_CD34- CD71- GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71- GlyA+	Erythroid_CD34- CD71- GlyA+
Erythrocytes	Noverstern	Erythroid_CD34- CD71- GlyA+	Erythroid_CD34- CD71- GlyA+
Fibroblasts	Encode	fibroblast of lung"	fibroblast of lung
Fibroblasts	Encode	fibroblast of dermis"	fibroblast of dermis
Fibroblasts	Encode	fibroblast of villous mesenchyme"	fibroblast of villous mesenchyme
Fibroblasts	Encode	fibroblast of the aortic adventitia"	fibroblast of the aortic adventitia
Fibroblasts	Encode	bronchus fibroblast of lung"	bronchus fibroblast of lung
Fibroblasts	Mabbott	Hs.33:Fibroblasts:foreskin:cntrl_24h:r1	Hs.33:Fibroblasts:foreskin:cntrl_24h:r1
Fibroblasts	Mabbott	Hs.33:Fibroblasts:foreskin:cntrl_24h:r2	Hs.33:Fibroblasts:foreskin:cntrl_24h:r2
Fibroblasts	Mabbott	Hs.33:Fibroblasts:foreskin:T._cruzi_24h:r1	Hs.33:Fibroblasts:foreskin:T._cruzi_24h:r1
Fibroblasts	Mabbott	Hs.33:Fibroblasts:foreskin:T._cruzi_24h:r2	Hs.33:Fibroblasts:foreskin:T._cruzi_24h:r2
Fibroblasts	Mabbott	Hs.33:Fibroblasts:breast:r1	Hs.33:Fibroblasts:breast:r1
Fibroblasts	Mabbott	Hs.33:Fibroblasts:breast:r2	Hs.33:Fibroblasts:breast:r2
Fibroblasts	Mabbott	Hs.33:Fibroblasts:breast:r5	Hs.33:Fibroblasts:breast:r5
Fibroblasts	Mabbott	Hs.33:Fibroblasts:breast:r6	Hs.33:Fibroblasts:breast:r6
Fibroblasts	Mabbott	Hs.33:Fibroblasts:breast:r7	Hs.33:Fibroblasts:breast:r7
Fibroblasts	Mabbott	Hs.33:Fibroblasts:breast:r8	Hs.33:Fibroblasts:breast:r8
GMP	Blueprint	granulocyte monocyte progenitor cell	granulocyte monocyte progenitor cell
GMP	Noverstern	Granulocyte/monocyte progenitor	Granulocyte/monocyte progenitor
GMP	Noverstern	Granulocyte/monocyte progenitor	Granulocyte/monocyte progenitor
GMP	Noverstern	Granulocyte/monocyte progenitor	Granulocyte/monocyte progenitor
GMP	Noverstern	Granulocyte/monocyte progenitor	Granulocyte/monocyte progenitor
Hepatocytes	Mabbott	Hs.60:Hepatocytes:r1	Hs.60:Hepatocytes:r1
Hepatocytes	Mabbott	Hs.60:Hepatocytes:r2	Hs.60:Hepatocytes:r2
Hepatocytes	Mabbott	Hs.60:Hepatocytes:r3	Hs.60:Hepatocytes:r3
HSC	Blueprint	hematopoietic stem cell	hematopoietic stem cell
HSC	Noverstern	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD133+ CD34dim
HSC	Noverstern	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD133+ CD34dim
HSC	Noverstern	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD133+ CD34dim
HSC	Noverstern	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD133+ CD34dim
HSC	Noverstern	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD133+ CD34dim
HSC	Noverstern	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD133+ CD34dim
HSC	Noverstern	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD133+ CD34dim
HSC	Noverstern	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD133+ CD34dim
HSC	Noverstern	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD133+ CD34dim
HSC	Noverstern	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD133+ CD34dim
HSC	Noverstern	Hematopoietic stem cell_CD38- CD34+	Hematopoietic stem cell_CD38- CD34+
HSC	Noverstern	Hematopoietic stem cell_CD38- CD34+	Hematopoietic stem cell_CD38- CD34+
HSC	Noverstern	Hematopoietic stem cell_CD38- CD34+	Hematopoietic stem cell_CD38- CD34+
HSC	Noverstern	Hematopoietic stem cell_CD38- CD34+	Hematopoietic stem cell_CD38- CD34+
iDC	Mabbott	Hs.103:DC:monocyte-derived:immature_cntrl:r1	Hs.103:DC:monocyte-derived:immature_cntrl:r1
iDC	Mabbott	Hs.103:DC:monocyte-derived:immature_cntrl:r2	Hs.103:DC:monocyte-derived:immature_cntrl:r2
iDC	Mabbott	Hs.103:DC:monocyte-derived:immature_cntrl:r3	Hs.103:DC:monocyte-derived:immature_cntrl:r3
iDC	Mabbott	Hs.14:DC:monocyte-derived:immature_6h:	Hs.14:DC:monocyte-derived:immature_6h:
iDC	Mabbott	Hs.14:DC:monocyte-derived:immature_12h:	Hs.14:DC:monocyte-derived:immature_12h:
iDC	Mabbott	Hs.14:DC:monocyte-derived:immature_24h:	Hs.14:DC:monocyte-derived:immature_24h:
iDC	Mabbott	Hs.14:DC:monocyte-derived:immature_48h:	Hs.14:DC:monocyte-derived:immature_48h:
Keratinocytes	Encode	hair follicular keratinocyte"	hair follicular keratinocyte
Keratinocytes	Mabbott	Hs.101:Keratinocytes:cntrl:r1	Hs.101:Keratinocytes:cntrl:r1
Keratinocytes	Mabbott	Hs.101:Keratinocytes:cntrl:r2	Hs.101:Keratinocytes:cntrl:r2
Keratinocytes	Mabbott	Hs.101:Keratinocytes:cntrl:r3	Hs.101:Keratinocytes:cntrl:r3
ly Endothelial cells	Mabbott	Hs.50:Endothelial_cells:lymphatic:cntrl:r1	Hs.50:Endothelial_cells:lymphatic:cntrl:r1
ly Endothelial cells	Mabbott	Hs.50:Endothelial_cells:lymphatic:cntrl:r2	Hs.50:Endothelial_cells:lymphatic:cntrl:r2
ly Endothelial cells	Mabbott	Hs.50:Endothelial_cells:lymphatic:cntrl:r3	Hs.50:Endothelial_cells:lymphatic:cntrl:r3
ly Endothelial cells	Mabbott	Hs.50:Endothelial_cells:lymphatic:cntrl:r4	Hs.50:Endothelial_cells:lymphatic:cntrl:r4
Macrophages	Mabbott	Hs.20:Macrophage:monocyte-derived:cntrl:r1	Hs.20:Macrophage:monocyte-derived:cntrl:r1
Macrophages	Mabbott	Hs.20:Macrophage:monocyte-derived:cntrl:r2	Hs.20:Macrophage:monocyte-derived:cntrl:r2
Macrophages	Mabbott	Hs.53:Macrophage:monocyte-derived:cntrl_4h:r1	Hs.53:Macrophage:monocyte-derived:cntrl_4h:r1
Macrophages	Mabbott	Hs.53:Macrophage:monocyte-derived:cntrl_4h:r2	Hs.53:Macrophage:monocyte-derived:cntrl_4h:r2
Macrophages	Mabbott	Hs.53:Macrophage:monocyte-derived:cntrl_4h:r3	Hs.53:Macrophage:monocyte-derived:cntrl_4h:r3
Macrophages	Abbas	Monocyte-Day7-1 [HG-U133A]	Monocyte-Day7-1 [HG-U133A]
Macrophages	Abbas	Monocyte-Day7-2 [HG-U133A]	Monocyte-Day7-2 [HG-U133A]
Macrophages	Abbas	Monocyte-Day7-3 [HG-U133A]	Monocyte-Day7-3 [HG-U133A]
Macrophages	Abbas	Monocyte-Day7-4 [HG-U133A]	Monocyte-Day7-4 [HG-U133A]
Macrophages	Abbas	Monocyte-Day7-5 [HG-U133A]	Monocyte-Day7-5 [HG-U133A]
Macrophages	Abbas	Monocyte-Day7-6 [HG-U133A]	Monocyte-Day7-6 [HG-U133A]
Macrophages	Abbas	Monocyte-Day7-7 [HG-U133A]	Monocyte-Day7-7 [HG-U133A]
Macrophages	Abbas	Monocyte-Day7-8 [HG-U133A]	Monocyte-Day7-8 [HG-U133A]
Macrophages	Abbas	Monocyte-Day7-9 [HG-U133A]	Monocyte-Day7-9 [HG-U133A]
Macrophages	Abbas	Monocyte-Day7-10 [HG-U133A]	Monocyte-Day7-10 [HG-U133A]
