,GO_term_ID,GO_term_def,P,P_FDR_adj,NofGenes,Genes
1,GO:0044877,protein-containing complex binding,2.074E-05,1.242E-02,31,ABCA1|ADAM17|APOE|CALR|CAV1|CD36|CD3G|CD44|COL5A1|COL5A3|FN1|HLA-E|ICAM1|ITGA2|ITGA3|ITGAV|ITGB1|ITGB3|KLRD1|LAMB1|LRP8|MFGE8|MMP9|NID1|NOV|SCARB1|SEMA7A|TGFBR1|TIMP2|VIM|VLDLR
2,GO:0002020,protease binding,6.247E-05,1.871E-02,11,COL1A1|COL1A2|FN1|ITGA3|ITGAV|ITGB1|ITGB3|KIT|PSAP|TIMP1|TIMP2
3,GO:0008035,high-density lipoprotein particle binding,3.227E-04,4.832E-02,4,ABCA1|CD36|LRP8|SCARB1
4,GO:0042605,peptide antigen binding,3.227E-04,4.832E-02,4,HLA-A|HLA-E|HLA-F|HLA-G
